id,x,y,z,x_transformed,y_transformed
367,76.3291,0.230194,4.07737,0.9759395571150861,77.0043604257504
368,82.095,0.434489,4.60002,0.8702676070874652,82.77291073722402
369,81.9878,0.25933,4.39757,1.043567946976812,82.66273130413764
370,82.1611,0.622662,4.39648,0.683252386343505,82.84221871035184
371,81.9402,0.50065,4.23562,0.8014692997109447,82.61926468025175
372,87.8661,0.590249,4.69854,0.8132124776703867,88.5458303711534
373,87.8908,0.298638,4.71237,1.105203196886685,88.56554039937632
374,88.159,0.591658,4.68,0.8168120852649039,88.83871164079379
375,88.1054,0.341023,4.51421,1.0664939157309852,88.78083378008601
376,93.9196,0.591354,5.09162,0.9156185953134367,94.59846421586053
377,94.1565,0.441564,4.9762,1.0694375329272443,94.83276826732221
378,94.0161,0.810099,4.94618,0.6985556647844182,94.69869050590039
379,94.0755,0.61059,4.73516,0.8990511974241697,94.75467034577603
380,102.277,0.72897,5.53075,0.9209288795213323,102.95699546987504
381,102.448,0.489023,5.48033,1.1637647881492021,103.12386752951919
382,102.518,0.871988,5.44224,0.7820527344002575,103.2004057503488
383,102.531,0.649786,5.24423,1.0044445390638062,103.20960433841927
384,106.292,0.779554,5.7989,0.9390061924910412,106.97227341191241
385,106.416,0.518756,5.73791,1.2018863828376944,107.09179580448932
386,106.531,0.891647,5.69292,0.8310163272764731,107.21315518718805
387,106.541,0.659777,5.50936,1.0630234203628424,107.2191888972915
388,112.081,0.794448,6.06389,1.0231025462901338,112.7606817107899
389,111.915,0.664606,5.87495,1.1500870695604442,112.59248576608904
390,112.075,1.0307,5.91331,0.7867824912997101,112.75872234524896
391,111.815,0.936094,5.80151,0.876928826703914,112.49714265672327
392,117.869,0.97615,6.21679,0.9403981888441625,118.55094246537284
393,117.992,0.766007,6.05085,1.1526136858325637,118.67033117207062
394,118.046,1.14604,6.10784,0.7735596137034705,118.73082159686125
395,118.006,0.992753,5.85429,0.9261402281553731,118.68820633595062
396,123.839,1.08888,6.4499,0.9297678302969355,124.5219972338687
397,123.962,0.807861,6.44006,1.212848964881832,124.64017400655744
398,124.115,1.17118,6.41748,0.8521992854058359,124.7993641584352
399,124.134,0.934119,6.23892,1.0895505137544186,124.81430778993557
400,130.025,1.10835,6.74543,1.016077297758482,130.70742573614132
401,129.858,0.926842,6.58857,1.194703167860604,130.5373464822793
402,129.984,1.31255,6.55866,0.8112060791291266,130.66992341918194
403,129.786,1.15344,6.41798,0.9669071438646087,130.46923168905772
404,135.957,1.26963,7.028,0.9562542618923785,136.64131623418552
405,135.962,1.05075,6.83651,1.1751877573939018,136.64257279595665
406,135.92,1.45038,6.81594,0.7748980121900777,136.60741235249162
407,135.801,1.22882,6.65952,0.9943907956260202,136.484641217368
408,141.703,1.30777,7.13193,1.016372742025406,142.38712831151167
409,141.593,1.44888,6.90239,0.8734024437264921,142.27955728425837
410,141.956,1.43759,7.0965,0.8908978595758534,142.64231116021875
411,141.825,1.6258,6.91477,0.7004753610260172,142.51454858296688
412,149.323,1.52341,7.55071,0.9310613680403798,150.0097015370746
413,149.207,1.31661,7.38391,1.135847607527775,149.89018234984252
414,149.586,1.44256,7.46612,1.0163966782165934,150.27128060224828
415,149.468,1.18383,7.38399,1.273071126581013,150.14887373782955
416,-0.0558883,-2.3747,0.796915,2.274318544103471,0.5859979573716377
417,-0.312427,-2.27504,0.744795,2.170286468111218,0.3312008864260868
418,0.0653815,-2.10661,0.775017,2.0083413756916375,0.71183419370944
419,-0.20804,-2.00276,0.735472,1.8998312272768882,0.44022843741318773
421,7.66924,-1.95112,1.1602,1.9828951982276128,8.317239752926827
422,7.5258,-2.16085,1.07502,2.190141802986048,8.170234476436146
423,7.55445,-1.75237,1.03632,1.7822114212481135,8.20586503291711
424,7.37852,-1.95926,0.90051,1.9860628831270526,8.026423068789931
425,13.6579,-1.91627,1.42311,2.0504525272562,14.3056200953395
426,13.7472,-2.18262,1.40203,2.3182905581951934,14.390352625590419
427,13.8906,-1.82403,1.31008,1.9622050334924241,14.539863318175106
428,13.8391,-2.07024,1.13024,2.207498419563428,14.48416081509112
429,19.7583,-1.8538,1.73757,2.092304576581543,20.406196385073713
430,19.6164,-2.02607,1.60905,2.262122991177006,20.261371425331674
431,19.7658,-1.64241,1.57827,1.881073727966279,20.417309921561955
432,19.5371,-1.78619,1.43201,2.020922083767408,20.18618481306069
433,25.5941,-1.63316,1.97293,1.9714852613063896,26.244915965825683
434,25.6661,-1.89586,1.88436,2.2353780070207194,26.31241343806985
435,25.82,-1.5344,1.84815,1.8766024451712826,26.472471670659182
436,25.7154,-1.73177,1.62768,2.072154996035843,26.36451206362783
437,31.904,-1.60441,2.23869,2.050634695848786,32.55438503536803
